t_ms,mode,base_yaw,base_pitch,elbow_pitch,wrist_roll,wrist_pitch
39.0,playing,7.64,-98.80,99.99,-0.04,-65.62
87.6,playing,7.64,-98.76,99.96,-0.04,-65.60
120.8,playing,7.64,-98.70,99.91,-0.04,-65.59
159.3,playing,7.64,-98.62,99.83,-0.04,-65.56
200.9,playing,7.64,-98.51,99.74,-0.04,-65.52
239.5,playing,7.64,-98.37,99.63,-0.04,-65.48
277.6,playing,7.64,-98.22,99.49,-0.04,-65.44
317.4,playing,7.64,-98.04,99.34,-0.05,-65.38
352.7,playing,7.64,-97.84,99.17,-0.05,-65.32
391.4,playing,7.64,-97.62,98.99,-0.05,-65.25
425.4,playing,7.63,-97.38,98.78,-0.05,-65.18
463.8,playing,7.63,-97.12,98.56,-0.05,-65.10
505.6,playing,7.63,-96.84,98.32,-0.05,-65.01
553.3,playing,7.63,-96.54,98.06,-0.05,-64.91
604.8,playing,7.63,-96.22,97.79,-0.05,-64.82
628.6,playing,7.63,-95.88,97.50,-0.05,-64.71
667.8,playing,7.63,-95.52,97.19,-0.05,-64.60
713.8,playing,7.63,-95.14,96.87,-0.05,-64.48
746.8,playing,7.62,-94.75,96.54,-0.05,-64.36
786.5,playing,7.62,-94.34,96.19,-0.05,-64.23
827.2,playing,7.62,-93.91,95.82,-0.06,-64.10
906.7,playing,7.62,-93.47,95.44,-0.06,-63.96
942.2,playing,7.62,-93.00,95.05,-0.06,-63.82
977.9,playing,7.61,-92.53,94.64,-0.06,-63.67
1016.0,playing,7.61,-92.04,94.23,-0.06,-63.52
1052.2,playing,7.61,-91.53,93.79,-0.06,-63.36
1090.6,playing,7.61,-91.01,93.35,-0.06,-63.20
1129.0,playing,7.61,-90.48,92.90,-0.06,-63.04
1168.5,playing,7.60,-89.93,92.43,-0.07,-62.87
1206.9,playing,7.60,-89.37,91.95,-0.07,-62.69
1245.2,playing,7.60,-88.80,91.47,-0.07,-62.52
1284.8,playing,7.60,-88.22,90.97,-0.07,-62.34
1323.2,playing,7.60,-87.62,90.46,-0.07,-62.15
1361.9,playing,7.59,-87.01,89.94,-0.07,-61.96
1420.4,playing,7.59,-86.39,89.41,-0.08,-61.77
1455.1,playing,7.59,-85.76,88.88,-0.08,-61.58
1493.4,playing,7.59,-85.12,88.33,-0.08,-61.38
1529.9,playing,7.58,-84.47,87.78,-0.08,-61.18
1563.7,playing,7.58,-83.82,87.22,-0.08,-60.97
1602.0,playing,7.58,-83.15,86.65,-0.08,-60.77
1640.5,playing,7.58,-82.47,86.07,-0.09,-60.56
1679.2,playing,7.57,-81.79,85.49,-0.09,-60.35
