t_ms,base_yaw,base_pitch,elbow_pitch,wrist_roll,wrist_pitch
0.2,7.45,-97.45,99.91,0.04,-47.56
54.7,7.45,-97.45,99.91,0.04,-47.56
110.8,7.45,-97.45,99.91,0.04,-47.56
165.2,7.45,-97.45,99.91,0.04,-47.56
216.6,7.45,-97.45,99.91,0.04,-47.56
268.8,7.45,-97.45,99.91,0.04,-47.56
324.9,7.45,-97.45,99.91,0.04,-47.56
380.9,7.45,-97.45,99.91,0.04,-47.56
432.9,7.45,-97.45,99.91,0.04,-47.56
486.2,7.45,-97.45,99.91,0.04,-47.56
542.2,7.45,-97.45,99.91,0.04,-47.56
598.2,7.45,-97.45,99.91,0.04,-47.56
654.5,7.45,-97.45,99.91,0.04,-47.56
706.0,7.45,-97.45,99.91,0.04,-47.56
758.7,7.45,-97.45,99.91,0.04,-47.56
814.7,7.45,-97.45,99.91,0.04,-47.56
870.7,7.45,-97.45,99.91,0.04,-47.56
926.8,7.45,-97.45,99.91,0.04,-47.56
982.9,7.45,-97.45,99.91,0.04,-47.56
1035.5,7.45,-97.45,99.91,0.04,-47.56
1087.6,7.45,-97.45,99.91,0.04,-47.56
1142.7,7.45,-97.45,99.91,0.04,-47.56
1196.0,7.45,-97.45,99.91,0.04,-47.56
1252.0,7.45,-97.45,99.91,0.04,-47.56
1308.0,7.45,-97.45,99.91,0.04,-47.56
1363.9,7.45,-97.45,99.91,0.04,-47.56
1415.5,7.45,-97.45,99.91,0.04,-47.56
1468.0,7.45,-97.45,99.91,0.04,-47.56
1524.0,7.45,-97.45,99.91,0.04,-47.56
1575.1,7.45,-97.45,99.91,0.04,-47.56
1626.4,7.45,-97.45,99.91,0.04,-47.56
1681.4,7.45,-97.45,99.91,0.04,-47.56
1736.2,7.45,-97.45,99.91,0.04,-47.56
1792.4,7.45,-97.45,99.91,0.04,-47.56
1844.7,7.45,-97.45,99.91,0.04,-47.56
1900.6,7.45,-97.45,99.91,0.04,-47.56
1956.6,7.45,-97.45,99.91,0.04,-47.56
2012.6,7.45,-97.45,99.91,0.04,-47.56
2068.7,7.45,-97.45,99.91,0.04,-47.56
2121.8,7.45,-97.45,99.91,0.04,-47.56
2178.1,7.45,-97.45,99.91,0.04,-47.56
2231.5,7.45,-97.45,99.91,0.04,-47.56
2287.5,7.45,-97.45,99.91,0.04,-47.56
2343.5,7.45,-97.45,99.91,0.04,-47.56
2399.5,7.45,-97.45,99.91,0.04,-47.56
2455.5,7.45,-97.45,99.91,0.04,-47.56
2511.5,7.45,-97.45,99.91,0.04,-47.56
2566.7,7.45,-97.45,99.91,0.04,-47.56
2622.6,7.45,-97.45,99.91,0.04,-47.56
2678.5,7.45,-97.45,99.91,0.04,-47.56
2734.4,7.45,-97.45,99.91,0.04,-47.56
2790.3,7.45,-97.45,99.91,0.04,-47.56
2846.2,7.45,-97.45,99.91,0.04,-47.56
2897.4,7.45,-97.45,99.91,0.04,-47.56
2953.3,7.45,-97.45,99.91,0.04,-47.56
3009.2,7.45,-97.45,99.91,0.04,-47.56
3063.8,7.45,-97.45,99.91,0.04,-47.56
3116.0,7.45,-97.45,99.91,0.04,-47.56
3171.9,7.45,-97.45,99.91,0.04,-47.56
3227.8,7.45,-97.45,99.91,0.04,-47.56
3389.3,7.45,-97.45,99.91,0.04,-47.56
3445.2,7.45,-97.45,99.91,0.04,-47.56
3498.4,7.45,-97.45,99.91,0.04,-47.56
3553.1,7.45,-97.45,99.91,0.04,-47.56
3604.7,7.45,-97.45,99.91,0.04,-47.56
3660.6,7.45,-97.45,99.91,0.04,-47.56
3713.4,7.45,-97.45,99.91,0.04,-47.56
3769.3,7.45,-97.45,99.91,0.04,-47.56
3825.3,7.45,-97.45,99.91,0.04,-47.56
3881.3,7.45,-97.45,99.91,0.04,-47.56
3937.3,7.45,-97.45,99.91,0.04,-47.56
3989.4,7.45,-97.45,99.91,0.04,-47.56
4045.3,7.45,-97.45,99.91,0.04,-47.56
4098.3,7.45,-97.45,99.91,0.04,-47.56
4150.7,7.45,-97.45,99.91,0.04,-47.56
4205.2,7.45,-97.45,99.91,0.04,-47.56
4257.4,7.45,-97.45,99.91,0.04,-47.56
4309.5,7.45,-97.45,99.91,0.04,-47.56
4364.1,7.45,-97.45,99.91,0.04,-47.56
4417.4,7.45,-97.45,99.91,0.04,-47.56
4473.4,7.45,-97.45,99.91,0.04,-47.56
4529.3,7.45,-97.45,99.91,0.04,-47.56
4581.6,7.45,-97.45,99.91,0.04,-47.56
4633.6,7.45,-97.45,99.91,0.04,-47.56
4686.1,7.45,-97.45,99.91,0.04,-47.56
4742.2,7.45,-97.45,99.91,0.04,-47.56
4797.5,7.45,-97.45,99.91,0.04,-47.56
4848.9,7.45,-97.45,99.91,0.04,-47.56
4902.8,7.45,-97.45,99.91,0.04,-47.56
4958.7,7.45,-97.45,99.91,0.04,-47.56
5014.7,7.45,-97.45,99.91,0.04,-47.56
5070.7,7.45,-97.45,99.91,0.04,-47.56
5126.6,7.45,-97.45,99.91,0.04,-47.56
5182.6,7.45,-97.45,99.91,0.04,-47.56
5238.6,7.45,-97.45,99.91,0.04,-47.56
5294.6,7.45,-97.45,99.91,0.04,-47.56
5346.8,7.45,-97.45,99.91,0.04,-47.56
5398.7,7.45,-97.45,99.91,0.04,-47.56
5451.0,7.45,-97.45,99.91,0.04,-47.56
5504.6,7.45,-97.45,99.91,0.04,-47.56
5556.8,7.45,-97.45,99.91,0.04,-47.56
5612.8,7.45,-97.45,99.91,0.04,-47.56
5665.3,7.45,-97.45,99.91,0.04,-47.56
5721.4,7.45,-97.45,99.91,0.04,-47.56
5777.4,7.45,-97.45,99.91,0.04,-47.56
5833.5,7.45,-97.45,99.91,0.04,-47.56
5889.5,7.45,-97.45,99.91,0.04,-47.56
5945.5,7.45,-97.45,99.91,0.04,-47.56
5998.4,7.45,-97.45,99.91,0.04,-47.56
6050.9,7.45,-97.45,99.91,0.04,-47.56
6103.4,7.45,-97.45,99.91,0.04,-47.56
6159.3,7.45,-97.45,99.91,0.04,-47.56
6215.2,7.45,-97.45,99.91,0.04,-47.56
6266.2,7.45,-97.45,99.91,0.04,-47.56
6321.4,7.45,-97.45,99.91,0.04,-47.56
